1, 80, 65, 0
2, 225, 65, 0
3, 370, 65, 0
4, 515, 170, 90
5, 620, 338, 0
6, 800, 338, 0
7, 913, 475, 90
9, 750, 658, 180
11, 545, 658, 180
12, 450, 658, 180
13, 348, 658, 180
14, 270, 658, 180
15, 160, 648, -160
16, 130, 630, -140
17, 101, 598, -120
18, 89, 571, -100
19, 81, 480, -90
20, 81, 240, -90
21, 610, 65, 0
22, 750, 65, 0
24, 913, 230, 90
25, 350, 385, 180
26, 125, 490, 90
27, 350, 612, 0
28, 610, 612, 0
29, 868, 500, -90
30, 868, 230, -90
31, 620, 113, 180
32, 545, 707, 180
33, 450, 707, 180
34, 348, 707, 180
